mendeley:readers,pubmed:pmc_citations,slideshare:downloads,slideshare:favorites,slideshare:views,topsy:influential_tweets,topsy:tweets,twitter_account:followers,twitter_account:lists
,,,,,1,4,,
,,,,,1,4,,
,,,,,,3,,
,,1,2,133,,,,
,,2,1,84,,,,
,,,,,,1,,
,,,,,1,3,,
,,8,,775,,3,,
,,,,,,4,,
,,,,,1,3,,
14,,,,,,3,,
,,,,,,3,,
,,2,,92,,1,,
,,4,1,227,,1,,
,,17,3,771,,2,,
,,,,,,6,,
27,3,,,,,,,
,,,,,,4,,
,,,,,,,329,23
,,13,,678,,1,,
,,1,,121,,3,,
12,,,,,,,,
,,3,,756,,4,,
,,,,,5,24,,
4,,,,,,,,
,,14,2,917,,2,,
,,,,,,3,,
,,13,4,1189,,1,,
,,10,,829,,1,,
,,2,,612,,,,
